GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Example of basic Maven project,com.acme.basic,Calculator,23,7,2,0,6,3,5,2,4,2
Example of basic Maven project,com.acme.basic,Cicd,75,0,0,0,14,0,2,0,2,0
